Source sentence,Answer sentence
replace entity to label : The shallow groundwater samples were collected to analyze the spatial distributions of hydrochemical characteristics .,replaced sentence is : The GroundwaterType samples were collected to analyze the spatial distributions of hydrochemical characteristics .
"replace entity to label : Shallow groundwater groups in paddy fields in lowlands were affected by reducing environments , of which one group was characterized by high Fe , Mn and B , and negligible nitrate .","replaced sentence is : GroundwaterType groups in paddy fields in lowlands were affected by reducing environments , of which one group was characterized by high Fe , Mn and B , and negligible nitrate ."
replace entity to label : The presence of an extended carbonate formation in the north-west and the appearance of magnesite in the north lead to high concentrations of Ca and Mg in the groundwaters of the study area .,replaced sentence is : The presence of an extended StratigraphicGroupType in the north-west and the appearance of magnesite in the north lead to high concentrations of Ca and Mg in the groundwaters of the study area .
replace entity to label : Indirect infiltration from wadis ( arroyos ) and depressions ( playas ) with little mixing in shallow groundwater contrasts with a high degree of mixing for water with deep circulation .,replaced sentence is : Indirect infiltration from wadis ( arroyos ) and depressions ( playas ) with little mixing in GroundwaterType contrasts with a high degree of mixing for water with deep circulation .
replace entity to label : Anhydrite / gypsum ( and by inference celestite ) are common in impact ejecta clasts and in beds and cements of overlying Paleocene and Lower Eocene rocks cored around the margin of the crater .,replaced sentence is : Anhydrite / gypsum ( and by inference celestite ) are common in impact ejecta clasts and in beds and cements of overlying GeologicAge and GeologicAge rocks cored around the margin of the crater .
"replace entity to label : Although As enrichment in Quaternary deposits has been linked to primary provenances ( Himalayan orogeny ) , limited studies have reported As enrichment in bedrock aquifers .","replaced sentence is : Although As enrichment in GeologicAge deposits has been linked to primary provenances ( Himalayan orogeny ) , limited studies have reported As enrichment in bedrock aquifers ."
"replace entity to label : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and Holocene age , and late Pleistocene age , with a mixing zone .","replaced sentence is : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and GeologicAge age , and GeologicAge age , with a mixing zone ."
replace entity to label : Groundwater quality data collected at 211 boreholes drilled into the Luhe formation indicate a complex distribution of groundwater chemistry .,replaced sentence is : Groundwater quality data collected at 211 boreholes drilled into the StratigraphicGroupType indicate a complex distribution of groundwater chemistry .
"replace entity to label : i ) post-seismic groundwater of Tempera spring group was more mineralised and richer in Rn-222 than the pre-seismic one ; ii ) transient changes in pH and calcite saturation index involve the whole aquifer , moving from Tempera springs and spreading from the recharge to discharge areas , causing changes in groundwater hydrochemistry ; iii ) post-seismic gradual return to previous hydrochemical equilibrium .","replaced sentence is : i ) post-seismic groundwater of StratigraphicGroupType was more mineralised and richer in Rn-222 than the pre-seismic one ; ii ) transient changes in pH and calcite saturation index involve the whole aquifer , moving from Tempera springs and spreading from the recharge to discharge areas , causing changes in groundwater hydrochemistry ; iii ) post-seismic gradual return to previous hydrochemical equilibrium ."
replace entity to label : Urban and rural areas rely on groundwater from the upper levels of a deep basin sequence comprising marine and terrestrial sediments of Pleistocene age .,replaced sentence is : Urban and rural areas rely on groundwater from the upper levels of a deep basin sequence comprising marine and terrestrial sediments of GeologicAge age .
replace entity to label : A common orientation has been established between traced groundwater flow routes and the dominant northwest southeast fracture trend within the Ulster White Limestone Formation .,replaced sentence is : A common orientation has been established between traced groundwater flow routes and the dominant northwest southeast fracture trend within the StratigraphicGroupType .
replace entity to label : This work aims to evaluate the hydrochemical characteristics of an aquifer located between carbonated formations and salt lake ( Garaat Ettarf ) .,replaced sentence is : This work aims to evaluate the hydrochemical characteristics of an aquifer located between StratigraphicGroupType and salt lake ( Garaat Ettarf ) .
"replace entity to label : From a geological point of view , the study area is characterized by the formation of sedimentary outcrops which predominantly corresponds to Mio-Plio-Quaternary formations .","replaced sentence is : From a geological point of view , the study area is characterized by the formation of sedimentary outcrops which predominantly corresponds to StratigraphicGroupType ."
replace entity to label : The main water-bearing formations in the study area are composed of Quaternary deposits .,replaced sentence is : The main StratigraphicGroupType in the study area are composed of GeologicAge deposits .
replace entity to label : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during Middle Holocene to Recent age .,replaced sentence is : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during GeologicAge to Recent age .
"replace entity to label : Bedding , cross-bedding , ripple marks , mud cracks , displacive evaporite crystal molds , and hematite concretions are contained in these Martian strata .","replaced sentence is : Bedding , cross-bedding , ripple marks , mud cracks , displacive evaporite crystal molds , and hematite concretions are contained in these StratigraphicGroupType ."
"replace entity to label : The sub-surface geology of the area is completely blanketed by the Quaternary fluviatile sediments comprising a succession of clay , silty clay , sand and sand mixed with occasional gravel .","replaced sentence is : The sub-surface geology of the area is completely blanketed by the GeologicAge fluviatile sediments comprising a succession of clay , silty clay , sand and sand mixed with occasional gravel ."
replace entity to label : It was found that the evaporate within the Triassic rocks are the main contributors to the salinization of groundwater .,replaced sentence is : It was found that the evaporate within the GeologicAge rocks are the main contributors to the salinization of groundwater .
"replace entity to label : Among the water-bearing formations , the Luohe formation , with an area of 1.32 x 10 ( 5 ) km ( 2 ) , is the most prospective aquifer .","replaced sentence is : Among the StratigraphicGroupType , the StratigraphicGroupType , with an area of 1.32 x 10 ( 5 ) km ( 2 ) , is the most prospective aquifer ."
replace entity to label : The C-14 modelling resulted in residence times ranging from Holocene to Pleistocene ( few hundred years to over 40 ka ) and yielded consistent results within the uncertainty estimation .,replaced sentence is : The C-14 modelling resulted in residence times ranging from GeologicAge to GeologicAge ( few hundred years to over 40 ka ) and yielded consistent results within the uncertainty estimation .
"replace entity to label : Moreover , groundwater presents different kinds of natural contamination such as high fluoride concentration ( almost everywhere >1.5 mg / L ) and high arsenic concentration in the zones related to volcanic formations and , in some sectors , high sulphates deriving from present and / or past hydrothermal conditions .","replaced sentence is : Moreover , groundwater presents different kinds of natural contamination such as high fluoride concentration ( almost everywhere >1.5 mg / L ) and high arsenic concentration in the zones related to StratigraphicGroupType and , in some sectors , high sulphates deriving from present and / or past hydrothermal conditions ."
"replace entity to label : The VES data collected from the field investigations are analyzed and interpreted , and the results of the survey reveal that the area covered with crystalline formation indicates the presence of four to five layers in the crystalline hard granitic formation , viz .","replaced sentence is : The VES data collected from the field investigations are analyzed and interpreted , and the results of the survey reveal that the area covered with crystalline formation indicates the presence of four to five layers in the StratigraphicGroupType , viz ."
replace entity to label : It investigates the hydrogeological situation of four zones in this tunnel crossing the Triassic Gipskeuper formation .,replaced sentence is : It investigates the hydrogeological situation of four zones in this tunnel crossing the StratigraphicGroupType .
"replace entity to label : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving overlying or basement formations , or of mixing with Permian waters .","replaced sentence is : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving StratigraphicGroupType , or of mixing with GeologicAge waters ."
replace entity to label : quartz-rich Bassendean Sand and carbonate-rich sediments of the Ascot Formation .,replaced sentence is : quartz-rich Bassendean Sand and carbonate-rich sediments of the StratigraphicGroupType .
"replace entity to label : To investigate these phenomena , samples from solid drill cores and rock cuttings were collected from the Hawthorn Group , Suwannee Limestone , Ocala Limestone and Avon Park Formation .","replaced sentence is : To investigate these phenomena , samples from solid drill cores and rock cuttings were collected from the StratigraphicGroupType , StratigraphicGroupType ."
